,Drug,Disease
2960,TALAZOPARIB,breast adenocarcinoma
2965,CEDIRANIB,breast cancer
2969,NIRAPARIB,breast cancer
2974,ATEZOLIZUMAB,breast carcinoma
2980,ERLOTINIB,triple-negative breast cancer
2989,PEMBROLIZUMAB,triple-negative breast cancer
2998,PEMETREXED,male breast carcinoma
3009,IPILIMUMAB,breast carcinoma
3015,CIXUTUMUMAB,breast cancer
3016,AZACITIDINE,male breast carcinoma
3018,SARGRAMOSTIM,male breast carcinoma
3025,NAPROXEN,breast cancer
3026,SARGRAMOSTIM,breast adenocarcinoma
3034,LIOTHYRONINE,breast cancer
3041,BEVACIZUMAB,triple-negative breast cancer
3053,BORTEZOMIB,breast carcinoma
3055,BEXAROTENE,breast cancer
3069,BECATECARIN,male breast carcinoma
3071,FAMITINIB,triple-negative breast cancer
3087,AZD-4547,breast cancer
3090,DOXORUBICIN,breast ductal carcinoma in situ
3110,TEMSIROLIMUS,breast carcinoma
3113,TRASTUZUMAB,Invasive Breast Carcinoma
3121,ANASTROZOLE,triple-negative breast cancer
3126,CEMIPLIMAB,breast cancer
3148,GEFITINIB,male breast carcinoma
3151,DIPHENHYDRAMINE,breast cancer
3155,ZOLEDRONIC ACID,breast ductal carcinoma in situ
3168,FULVESTRANT,female breast carcinoma
3180,AFLIBERCEPT,breast cancer
3183,TIPIFARNIB,inflammatory breast carcinoma
3185,CALCITRIOL,breast cancer
3189,LENVATINIB,breast cancer
3193,SELINEXOR,breast cancer
3200,SARGRAMOSTIM,inflammatory breast carcinoma
3203,LETROZOLE,inflammatory breast carcinoma
3210,PREDNISOLONE,breast cancer
3216,PEMBROLIZUMAB,salivary duct carcinoma
3227,CELECOXIB,breast carcinoma
3254,PALBOCICLIB,female breast carcinoma
3268,PEMBROLIZUMAB,male breast carcinoma
3272,AVELUMAB,breast carcinoma
3282,VALPROIC ACID,breast cancer
3286,METHYLPREDNISOLONE,breast cancer
3299,DOXORUBICIN,male breast carcinoma
3312,TOPOTECAN,breast cancer
3322,NIVOLUMAB,breast carcinoma
3342,CAPECITABINE,inflammatory breast carcinoma
3349,NIMOTUZUMAB,breast cancer
3350,DURVALUMAB,luminal B breast carcinoma
3354,ANASTROZOLE,male breast carcinoma
3374,LETROZOLE,invasive lobular carcinoma
3382,IMIQUIMOD,breast cancer
3390,FILGRASTIM,male breast carcinoma
3395,SARGRAMOSTIM,breast ductal carcinoma in situ
3401,NIVOLUMAB,inflammatory breast carcinoma
3405,IPILIMUMAB,inflammatory breast carcinoma
3410,TRASTUZUMAB,breast ductal adenocarcinoma
3420,EPACADOSTAT,Hereditary breast and ovarian cancer syndrome
3421,DOXORUBICIN,Hereditary breast and ovarian cancer syndrome
3467,PEMBROLIZUMAB,breast adenocarcinoma
3483,TREMELIMUMAB,breast cancer
3485,ATORVASTATIN,inflammatory breast carcinoma
3495,ANASTROZOLE,female breast carcinoma
3501,PERTUZUMAB,Invasive Breast Carcinoma
3504,CAPECITABINE,male breast carcinoma
3515,METFORMIN,breast carcinoma in situ
3517,DECITABINE,breast cancer
3518,INDIBULIN,breast cancer
3519,INTERFERON ALFA-2B,breast cancer
3521,CUDC-101,breast cancer
3522,ROMIDEPSIN,breast adenocarcinoma
3524,RILUZOLE,breast cancer
3525,MIRVETUXIMAB SORAVTANSINE,breast cancer
3526,COPANLISIB,breast carcinoma
3529,UCN-01,breast cancer
3531,SELUMETINIB,triple-negative breast cancer
3532,ALITRETINOIN,breast cancer
3533,GEMCITABINE,breast adenocarcinoma
3534,BEXAROTENE,breast carcinoma
3536,GEMCITABINE,Hereditary breast and ovarian cancer syndrome
3537,TASELISIB,breast carcinoma
3540,NIVOLUMAB,triple-negative breast cancer
3543,LETROZOLE,invasive breast ductal carcinoma
3544,NIRAPARIB,breast carcinoma
3546,DINACICLIB,male breast carcinoma
3547,ALVOCIDIB,breast cancer
3548,PILARALISIB,breast cancer
3553,ROMIDEPSIN,inflammatory breast carcinoma
3554,AZACITIDINE,breast cancer
3556,DURVALUMAB,triple-negative breast cancer
3557,UCN-01,triple-negative breast cancer
3560,BELINOSTAT,breast adenocarcinoma
3563,INTERFERON ALFA-2B,breast carcinoma in situ
3564,EVEROLIMUS,male breast carcinoma
3570,ALVOCIDIB,male breast carcinoma
3571,VOXTALISIB,breast cancer
3577,ROMIDEPSIN,triple-negative breast cancer
3578,OLAPARIB,Hereditary breast and ovarian cancer syndrome
3579,EVEROLIMUS,triple-negative breast cancer
3585,PACLITAXEL,luminal B breast carcinoma
3587,PACLITAXEL,breast carcinoma in situ
3588,NIVOLUMAB,breast adenocarcinoma
3589,COPANLISIB,breast adenocarcinoma
3590,RUXOLITINIB,breast carcinoma
3604,INFIGRATINIB,breast cancer
3606,LIDOCAINE,breast carcinoma
3607,VISTUSERTIB,Hereditary breast and ovarian cancer syndrome
3613,VATALANIB,breast cancer
3615,DENILEUKIN DIFTITOX,male breast carcinoma
3618,VELIPARIB,male breast carcinoma
3619,NERATINIB,inflammatory breast carcinoma
3622,FINGOLIMOD,breast carcinoma
3624,ENTINOSTAT,breast carcinoma
3625,BINIMETINIB,breast cancer
3626,BOSUTINIB,breast carcinoma
3627,DOCETAXEL,male breast carcinoma
3628,VISTUSERTIB,triple-negative breast cancer
3630,PEXIDARTINIB,breast cancer
3634,BEXAROTENE,breast ductal carcinoma in situ
3635,ORANTINIB,breast cancer
3642,BIRABRESIB,breast cancer
3647,MIFEPRISTONE,male breast carcinoma
3648,TEMSIROLIMUS,breast cancer
3650,TIPIFARNIB,breast carcinoma
3653,AMLODIPINE,breast cancer
3655,CIXUTUMUMAB,male breast carcinoma
3670,PIMASERTIB,breast cancer
3671,NICOTINE,breast cancer
3672,PASIREOTIDE,breast ductal carcinoma in situ
3691,OLAPARIB,inflammatory breast carcinoma
3693,CILENGITIDE,male breast carcinoma
3695,MK-2206,male breast carcinoma
3701,GEDATOLISIB,triple-negative breast cancer
3708,ROGARATINIB,breast cancer
3725,DINACICLIB,breast cancer
3727,FRUQUINTINIB,breast cancer
3728,CRIZOTINIB,breast cancer
3738,BEXAROTENE,Atypical Lobular Breast Hyperplasia
3742,TIPIFARNIB,male breast carcinoma
3743,SEMAXANIB,breast cancer
3768,ABEMACICLIB,breast adenocarcinoma
3772,CAPIVASERTIB,Hereditary breast and ovarian cancer syndrome
3778,OMEPRAZOLE,breast cancer
3792,RITUXIMAB,breast adenocarcinoma
3807,FULVESTRANT,breast adenocarcinoma
3813,CHOLECALCIFEROL,breast ductal carcinoma in situ
3818,TOCILIZUMAB,breast cancer
3828,DOXORUBICIN,breast carcinoma in situ
3830,VELIPARIB,breast carcinoma
3841,LETROZOLE,lobular breast carcinoma
3844,FULVESTRANT,Hereditary breast and ovarian cancer syndrome
3852,PALBOCICLIB,Hereditary breast and ovarian cancer syndrome
3855,BINIMETINIB,breast adenocarcinoma
3876,ADAVOSERTIB,triple-negative breast cancer
3882,NIRAPARIB,HER2 negative breast carcinoma
3887,RETASPIMYCIN,breast cancer
3889,IPATASERTIB,breast carcinoma
3911,FULVESTRANT,breast ductal adenocarcinoma
3916,IPILIMUMAB,breast adenocarcinoma
3927,ABEMACICLIB,HER2 negative breast carcinoma
3941,BEVACIZUMAB,inflammatory breast carcinoma
3947,ROSIGLITAZONE,breast cancer
3954,INDOMETHACIN,breast cancer
3969,SARGRAMOSTIM,triple-negative breast cancer
3976,GANETESPIB,male breast carcinoma
3991,PALBOCICLIB,breast ductal adenocarcinoma
4004,ERDAFITINIB,breast cancer
4018,IRINOTECAN,triple-negative breast cancer
4019,TEMSIROLIMUS,male breast carcinoma
4061,ERGOCALCIFEROL,invasive breast ductal carcinoma
4065,PERTUZUMAB,male breast carcinoma
4089,CELECOXIB,breast carcinoma in situ
4104,ME-344,breast carcinoma
4107,IBUPROFEN,breast cancer
4108,DICLOFENAC,breast cancer
4110,PEMBROLIZUMAB,breast ductal carcinoma in situ
4130,MIFEPRISTONE,breast ductal carcinoma in situ
4167,SOTALOL,atrial fibrillation
4168,METFORMIN,atrial fibrillation
4169,DESFLURANE,sudden cardiac arrest
4170,DIGOXIN,atrial fibrillation
4173,ADENOSINE,paroxysmal tachycardia
4176,WARFARIN,atrial fibrillation
4177,DRONEDARONE,atrial fibrillation
4180,PROCAINAMIDE,cardiac arrhythmia
4181,VERAPAMIL,atrial fibrillation
4182,SEVOFLURANE,sudden cardiac arrest
4183,PROPAFENONE,ventricular tachycardia
4187,VERNAKALANT,atrial fibrillation
4191,MORICIZINE,cardiac arrhythmia
4193,CARVEDILOL,atrial fibrillation
4194,EPINEPHRINE,sudden cardiac arrest
4196,PROPOFOL,atrial fibrillation
4197,PROPAFENONE,atrial fibrillation
4198,EPINEPHRINE,cardiac arrhythmia
4199,VERNAKALANT,cardiac arrhythmia
4201,DEXMEDETOMIDINE,atrial fibrillation
4204,DRONEDARONE,cardiac arrhythmia
4209,ROPIVACAINE,atrial fibrillation
4212,QUINIDINE,cardiac arrhythmia
4221,QUINIDINE,atrial fibrillation
4224,PROPAFENONE,cardiac arrhythmia
4225,NIFEDIPINE,atrial fibrillation
4238,VASOPRESSIN,cardiac arrest
4246,AMLODIPINE,atrial fibrillation
4252,DILTIAZEM,atrial fibrillation
4268,MEPIVACAINE,cardiac arrhythmia
4269,PREDNISONE,atrial fibrillation
4271,MEXILETINE,cardiac arrhythmia
4302,ADENOSINE,Supraventricular tachycardia
4318,LIDOCAINE,cardiac arrhythmia
4322,ASPIRIN,atrial fibrillation
4327,DILTIAZEM,atrial flutter
4334,PROCAINAMIDE,atrial fibrillation
4337,SOTALOL,cardiac arrhythmia
4340,DISOPYRAMIDE,cardiac arrhythmia
4355,METOPROLOL,atrial fibrillation
4363,ROSUVASTATIN,atrial fibrillation
4409,PROPRANOLOL,atrial fibrillation
4411,SOTALOL,ventricular tachycardia
4416,CLONAZEPAM,cardiac arrest
4421,METOPROLOL,cardiac arrhythmia
4430,EPINEPHRINE,cardiac arrest
4432,VERAPAMIL,Paroxysmal supraventricular tachycardia
4445,RANOLAZINE,ventricular ectopy
4501,ASPIRIN,ventricular tachycardia
4530,LIRAGLUTIDE,atrial fibrillation
4571,METOPROLOL,atrial flutter
4582,DEXAMETHASONE,atrial fibrillation
4617,ATORVASTATIN,cardiac arrhythmia
4634,TEDISAMIL,atrial flutter
4635,DISOPYRAMIDE,atrial fibrillation
4638,TEDISAMIL,atrial fibrillation
4639,CAFFEINE,atrial fibrillation
4640,VERNAKALANT,atrial flutter
4642,PROPAFENONE,ventricular fibrillation
4644,LIDOCAINE,cardiac arrest
4646,PROPAFENONE,sudden cardiac arrest
4647,DRONEDARONE,atrial flutter
4648,CYCLOSPORINE,cardiac arrest
4652,MEXILETINE,sudden cardiac arrest
4656,SOTALOL,ventricular fibrillation
4675,PROCAINAMIDE,sudden cardiac arrest
4677,COLCHICINE,atrial fibrillation
4680,QUINIDINE,sudden cardiac arrest
4682,COLCHICINE,cardiac arrhythmia
4687,ADENOSINE,atrial fibrillation
4688,PROPRANOLOL,ventricular fibrillation
4694,MORICIZINE,atrial fibrillation
4715,ATORVASTATIN,atrial fibrillation
4721,PROCAINAMIDE,ventricular fibrillation
4729,QUINIDINE,ventricular fibrillation
4731,SOTALOL,sudden cardiac arrest
4739,MEXILETINE,ventricular fibrillation
4753,WARFARIN,atrial flutter
4759,DIGOXIN,Supraventricular tachycardia
4783,PROPRANOLOL,sudden cardiac arrest
4826,RANOLAZINE,atrial fibrillation
4870,PROPRANOLOL,Supraventricular tachycardia
4880,HYDROCORTISONE,cardiac arrest
4904,METHYLPREDNISOLONE,cardiac arrest
4922,EPINEPHRINE,ventricular fibrillation
4923,NITRIC OXIDE,sudden cardiac arrest
4925,VASOPRESSIN,sudden cardiac arrest
4926,ROCURONIUM,cardiac arrest
4929,EPINEPHRINE,ventricular tachycardia
4931,THEOPHYLLINE,cardiac arrest
4934,AZD1305,atrial flutter
4940,AZD1305,atrial fibrillation
4945,METOPROLOL,sudden cardiac arrest
4955,SIMVASTATIN,atrial fibrillation
4966,ATROPINE,cardiac arrest
4968,HYDROCORTISONE,atrial fibrillation
4975,MELATONIN,atrial fibrillation
4979,METOPROLOL,ventricular tachycardia
4994,ERGOCALCIFEROL,sudden cardiac arrest
5004,METHYLPREDNISOLONE,sudden cardiac arrest
5008,METOPROLOL,ventricular fibrillation
5010,LIOTHYRONINE,atrial fibrillation
5011,ACETAMINOPHEN,cardiac arrhythmia
5021,TEDISAMIL,cardiac arrhythmia
5048,NITRIC OXIDE,cardiac arrest
5064,MIDAZOLAM,Crohn's disease
5066,DOXYCYCLINE,Crohn's colitis
5069,PREDNISONE,Crohn's disease
5070,INFLIXIMAB,Crohn's disease
5071,ERGOCALCIFEROL,Crohn's disease
5072,CHOLECALCIFEROL,Crohn's disease
5074,PREDNISOLONE,Crohn's disease
5076,HYDROCORTISONE,Crohn's disease
5077,MESALAMINE,Crohn's disease
5078,CAFFEINE,Crohn's disease
5079,METHOTREXATE,Crohn's disease
5081,METHYLPREDNISOLONE,Crohn's disease
5084,DEXAMETHASONE,Crohn's disease
5088,NATALIZUMAB,Crohn's disease
5090,DEXTROMETHORPHAN,Crohn's disease
5097,USTEKINUMAB,Crohn's disease
5098,SIROLIMUS,Crohn's disease
5103,OMEPRAZOLE,Crohn's disease
5106,CELECOXIB,Crohn's disease
5110,THALIDOMIDE,Crohn's disease
5117,UPADACITINIB,Crohn's disease
5118,SARGRAMOSTIM,Crohn's disease
5121,ABATACEPT,Crohn's disease
5129,AMISELIMOD,Crohn's disease
5130,DOXYCYCLINE,Crohn's disease
5131,TACROLIMUS,Crohn's disease
5132,FLUDARABINE PHOSPHATE,Crohn's disease
5134,LENALIDOMIDE,Crohn's disease
5136,TOFACITINIB,Crohn's disease
5137,HYDROXYCHLOROQUINE,Crohn's disease
5140,BUPROPION,Crohn's disease
5141,PF-06651600,Crohn's disease
5153,ALDESLEUKIN,Crohn's disease
5154,ALEMTUZUMAB,Crohn's disease
5157,SECUKINUMAB,Crohn's disease
5164,NALTREXONE,Crohn's disease
5179,ATORVASTATIN,Crohn's disease
5180,RANOLAZINE,Crohn's disease
5182,MYCOPHENOLATE MOFETIL,Crohn's disease
5190,FILGRASTIM,Crohn's disease
5210,VERAPAMIL,Crohn's disease
5211,ACETAMINOPHEN,Crohn's disease
5213,ROSUVASTATIN,Crohn's disease
5214,DIPHENHYDRAMINE,Crohn's disease
5217,PIOGLITAZONE,Crohn's disease
5218,VORINOSTAT,Crohn's disease
5220,CANNABIDIOL,Crohn's disease
5227,WARFARIN,Crohn's disease
5229,CALCITRIOL,Crohn's disease
5231,RITUXIMAB,Crohn's disease
5232,DENOSUMAB,Crohn's disease
5234,PENTOXIFYLLINE,Crohn's disease
5259,METFORMIN,type II diabetes mellitus
5272,METFORMIN,diabetes mellitus
5281,PIOGLITAZONE,type II diabetes mellitus
5300,METFORMIN,gestational diabetes
5303,DIPYRIDAMOLE,diabetes mellitus
5315,METFORMIN,type I diabetes mellitus
5316,LIRAGLUTIDE,type II diabetes mellitus
5338,METFORMIN,prediabetes syndrome
5340,PIOGLITAZONE,diabetes mellitus
5354,PENTOXIFYLLINE,type II diabetes mellitus
5369,ACETAMINOPHEN,type II diabetes mellitus
5371,CHOLECALCIFEROL,type I diabetes mellitus
5379,ASPIRIN,type II diabetes mellitus
5385,ROSIGLITAZONE,type II diabetes mellitus
5392,BOSENTAN,type II diabetes mellitus
5420,ASPIRIN,type I diabetes mellitus
5422,PRAMLINTIDE,type I diabetes mellitus
5453,ATORVASTATIN,diabetes mellitus
5458,SIMVASTATIN,type II diabetes mellitus
5466,LIDOCAINE,diabetes mellitus
5487,ROSIGLITAZONE,diabetes mellitus
5512,ASPIRIN,diabetes mellitus
5518,DEXMEDETOMIDINE,diabetes mellitus
5529,BROMOCRIPTINE,type II diabetes mellitus
5541,NICOTINE,type II diabetes mellitus
5573,CYCLOSPORINE,diabetes mellitus
5590,ROSUVASTATIN,type II diabetes mellitus
5599,ROPIVACAINE,diabetes mellitus
5600,LIRAGLUTIDE,type I diabetes mellitus
5608,TACROLIMUS,diabetes mellitus
5615,PRAMLINTIDE,type II diabetes mellitus
5638,HYDROXYCHLOROQUINE,prediabetes syndrome
5639,PIOGLITAZONE,type I diabetes mellitus
5648,LIRAGLUTIDE,prediabetes syndrome
5653,SIROLIMUS,type I diabetes mellitus
5662,ATORVASTATIN,type II diabetes mellitus
5663,ERGOCALCIFEROL,type II diabetes mellitus
5665,MYCOPHENOLATE MOFETIL,type I diabetes mellitus
5666,ERGOCALCIFEROL,diabetes mellitus
5710,PRAMLINTIDE,diabetes mellitus
5715,LIRAGLUTIDE,diabetes mellitus
5725,ROSUVASTATIN,diabetes mellitus
5729,WARFARIN,diabetes mellitus
5730,ALEMTUZUMAB,diabetes mellitus
5769,CHOLECALCIFEROL,diabetes mellitus
5782,AMLODIPINE,type II diabetes mellitus
5785,DEXAMETHASONE,diabetes mellitus
5791,ERGOCALCIFEROL,gestational diabetes
5800,ROSIGLITAZONE,type I diabetes mellitus
5807,LIRAGLUTIDE,gestational diabetes
5811,CYCLOSPORINE,type II diabetes mellitus
5819,RITUXIMAB,type I diabetes mellitus
5828,TACROLIMUS,type II diabetes mellitus
5831,CARVEDILOL,type II diabetes mellitus
5837,TOPIRAMATE,type II diabetes mellitus
5840,CHOLECALCIFEROL,type II diabetes mellitus
5844,RANOLAZINE,type II diabetes mellitus
5845,DILTIAZEM,type II diabetes mellitus
5857,ETANERCEPT,type I diabetes mellitus
5881,VERAPAMIL,type I diabetes mellitus
5898,TACROLIMUS,type I diabetes mellitus
5915,ATORVASTATIN,type I diabetes mellitus
5918,OMEPRAZOLE,type I diabetes mellitus
5925,SIMVASTATIN,diabetes mellitus
5928,CYCLOSPORINE,type I diabetes mellitus
5935,AMLODIPINE,diabetes mellitus
5939,ERGOCALCIFEROL,type I diabetes mellitus
5958,ROSUVASTATIN,type I diabetes mellitus
5963,"ESTROGENS, CONJUGATED",diabetes mellitus
5975,CHOLECALCIFEROL,gestational diabetes
5992,METOPROLOL,type II diabetes mellitus
6000,DENOSUMAB,diabetes mellitus
6015,SILDENAFIL,diabetes mellitus
6019,PROPRANOLOL,type I diabetes mellitus
6020,TOPIRAMATE,diabetes mellitus
6021,ETOPOSIDE,Stiff-Person syndrome
6023,ALDESLEUKIN,type I diabetes mellitus
6024,CYTARABINE,Stiff-Person syndrome
6028,ABATACEPT,type I diabetes mellitus
6044,DEXTROMETHORPHAN,type II diabetes mellitus
6045,IMATINIB,type I diabetes mellitus
6046,USTEKINUMAB,type I diabetes mellitus
6047,ACETAMINOPHEN,type I diabetes mellitus
6061,AMANTADINE,type II diabetes mellitus
6066,ROFLUMILAST,type II diabetes mellitus
6072,FILGRASTIM,type I diabetes mellitus
6081,CALCITRIOL,type I diabetes mellitus
6082,HYDROXYCHLOROQUINE,type II diabetes mellitus
6091,HYDROXYCHLOROQUINE,type I diabetes mellitus
6100,ALEMTUZUMAB,type I diabetes mellitus
6101,PREDNISONE,Stiff-Person syndrome
6103,APABETALONE,diabetes mellitus
6107,IBUPROFEN,type I diabetes mellitus
6119,ERGOCALCIFEROL,latent autoimmune diabetes in adults
6129,SIMVASTATIN,prediabetes syndrome
6130,TOCILIZUMAB,type I diabetes mellitus
6135,CARMUSTINE,Stiff-Person syndrome
6146,SECUKINUMAB,type I diabetes mellitus
6152,NALOXONE,type I diabetes mellitus
6153,PREDNISOLONE,type II diabetes mellitus
6161,LIRAGLUTIDE,MODY
6173,RITUXIMAB,Stiff-Person syndrome
6182,SIMVASTATIN,type I diabetes mellitus
6185,ROSIGLITAZONE,prediabetes syndrome
6193,CHOLECALCIFEROL,prediabetes syndrome
6196,BROMOCRIPTINE,type I diabetes mellitus
6199,INFLIXIMAB,type I diabetes mellitus
6201,MELATONIN,prediabetes syndrome
6213,PEGFILGRASTIM,type I diabetes mellitus
6222,EMRICASAN,diabetes mellitus
6223,CAFFEINE,type II diabetes mellitus
6225,BUPROPION,type II diabetes mellitus
6226,MIDAZOLAM,type II diabetes mellitus
6228,CALCITRIOL,prediabetes syndrome
6229,DIGOXIN,diabetes mellitus
6231,HYDROCORTISONE,type I diabetes mellitus
6232,DIGOXIN,type II diabetes mellitus
6234,ATROPINE,prediabetes syndrome
6238,WARFARIN,type II diabetes mellitus
6243,OMEPRAZOLE,type II diabetes mellitus
6253,MIFEPRISTONE,diabetes mellitus
6254,VERAPAMIL,type II diabetes mellitus
6257,ALPRAZOLAM,type I diabetes mellitus
6260,BOSENTAN,diabetes mellitus
6278,ESTRADIOL,type II diabetes mellitus
6281,METHYLPREDNISOLONE,Stiff-Person syndrome
6282,ESTRADIOL,type I diabetes mellitus
6292,PROPRANOLOL,type II diabetes mellitus
6314,OMEPRAZOLE,diabetes mellitus
6319,FILGRASTIM,Stiff-Person syndrome
6324,EPINEPHRINE,diabetes mellitus
6327,MELATONIN,diabetes mellitus
6330,PREDNISONE,type II diabetes mellitus
6339,ERLOSAMIDE,epilepsy
6340,TOPIRAMATE,epilepsy
6342,OXCARBAZEPINE,epilepsy
6343,LAMOTRIGINE,epilepsy
6344,ERLOSAMIDE,partial epilepsy
6346,CARBAMAZEPINE,epilepsy
6348,CLOBAZAM,epilepsy
6352,ZONISAMIDE,epilepsy
6354,LAMOTRIGINE,epilepsy with generalized tonic-clonic seizures
6356,PHENYTOIN,epilepsy
6374,CLONAZEPAM,epilepsy
6376,FOSPHENYTOIN,epilepsy
6382,LEVETIRACETAM,epilepsy
6386,CARBAMAZEPINE,partial epilepsy
6391,LAMOTRIGINE,Lennox-Gastaut syndrome
6402,VALPROIC ACID,epilepsy
6425,PRIMIDONE,epilepsy
6429,DIAZEPAM,epilepsy
6439,PERAMPANEL,epilepsy
6441,RUFINAMIDE,Lennox-Gastaut syndrome
6450,RUFINAMIDE,epilepsy
6453,ESLICARBAZEPINE ACETATE,epilepsy
6462,METHYLPREDNISOLONE,Churg-Strauss syndrome
6463,RILUZOLE,Fragile X syndrome
6468,MIDAZOLAM,epilepsy
6469,LAMOTRIGINE,partial epilepsy
6471,PREDNISONE,Granulomatosis with Polyangiitis
6475,PREDNISONE,Churg-Strauss syndrome
6481,VALPROIC ACID,complex partial epilepsy
6482,MELATONIN,Lennox-Gastaut syndrome
6486,METHOTREXATE,Churg-Strauss syndrome
6491,LEVETIRACETAM,partial epilepsy
6503,RITUXIMAB,Granulomatosis with Polyangiitis
6510,CHOLECALCIFEROL,epilepsy
6515,CARBAMAZEPINE,Rolandic epilepsy
6524,LEVETIRACETAM,Rolandic epilepsy
6525,MYCOPHENOLATE MOFETIL,Churg-Strauss syndrome
6526,DEXAMETHASONE,Japanese encephalitis
6530,PREDNISOLONE,epilepsy
6545,VALPROIC ACID,reflex epilepsy
6559,RITUXIMAB,epilepsy
6587,CANNABIDIOL,epilepsy
6640,FENFLURAMINE,Dravet syndrome
6651,METHYLPREDNISOLONE,Granulomatosis with Polyangiitis
6676,MELATONIN,epilepsy
6684,CANNABIDIOL,Lennox-Gastaut syndrome
6686,METHYLPREDNISOLONE,Japanese encephalitis
6705,CANNABIDIOL,Dravet syndrome
6717,GANAXOLONE,status epilepticus
6718,TOPIRAMATE,partial epilepsy
6719,SODIUM DICHLOROACETATE,Pyruvate dehydrogenase deficiency
6720,LAMOTRIGINE,Childhood absence epilepsy
6724,DIAZEPAM,status epilepticus
6725,ESLICARBAZEPINE ACETATE,partial epilepsy
6726,CLONAZEPAM,status epilepticus
6727,CENOBAMATE,partial epilepsy
6729,CENOBAMATE,epilepsy
6730,OXCARBAZEPINE,partial epilepsy
6732,LORAZEPAM,status epilepticus
6733,TOPIRAMATE,epilepsy with generalized tonic-clonic seizures
6736,ZONISAMIDE,complex partial epilepsy
6738,FOSPHENYTOIN,status epilepticus
6741,PROPOFOL,status epilepticus
6742,PERAMPANEL,Lennox-Gastaut syndrome
6746,ESLICARBAZEPINE ACETATE,complex partial epilepsy
6748,CLOBAZAM,Dravet syndrome
6750,PREDNISOLONE,West syndrome
6753,CLOBAZAM,Lennox-Gastaut syndrome
6756,TOPIRAMATE,Lennox-Gastaut syndrome
6758,LORAZEPAM,epilepsia partialis continua
6765,METHOTREXATE,Granulomatosis with Polyangiitis
6766,ERLOSAMIDE,status epilepticus
6770,CLONAZEPAM,epilepsia partialis continua
6783,INFLIXIMAB,Behcet's syndrome
6790,NALOXONE,epilepsy
6801,CANNABIDIOL,Rett syndrome
6802,DIAZEPAM,complex partial epilepsy
6819,LEVETIRACETAM,status epilepticus
6821,FENFLURAMINE,reflex epilepsy
6822,CLOBAZAM,epilepsia partialis continua
6843,KETAMINE,status epilepticus
6860,BREXANOLONE,status epilepticus
6871,LEVETIRACETAM,epilepsy with generalized tonic-clonic seizures
6889,CLONAZEPAM,epilepsy with generalized tonic-clonic seizures
6893,MYCOPHENOLATE MOFETIL,Granulomatosis with Polyangiitis
6897,CANNABIDIOL,West syndrome
6940,VALPROIC ACID,status epilepticus
6953,APREMILAST,Behcet's syndrome
6975,VALPROIC ACID,Childhood absence epilepsy
6984,DEXTROMETHORPHAN,Rett syndrome
6990,RISPERIDONE,Rett syndrome
6996,PREDNISOLONE,Churg-Strauss syndrome
6998,PERAMPANEL,epilepsy with generalized tonic-clonic seizures
7008,SECUKINUMAB,Behcet's syndrome
7017,CANNABIDIOL,developmental and epileptic encephalopathy
7079,ABATACEPT,Granulomatosis with Polyangiitis
7103,CYCLOSPORINE,Behcet's syndrome
7146,VERAPAMIL,Dravet syndrome
7148,METFORMIN,Fragile X syndrome
7151,DIAZEPAM,Landau-Kleffner syndrome
7155,ACAMPROSATE,Fragile X syndrome
7156,CARVEDILOL,epilepsy
7160,SELURAMPANEL,epilepsy
7162,GANAXOLONE,epilepsy
7167,PENTOXIFYLLINE,Behcet's syndrome
7169,ALDESLEUKIN,Behcet's syndrome
7170,GANAXOLONE,complex partial epilepsy
7172,ACETAZOLAMIDE,status epilepticus
7173,HYDROXYCHLOROQUINE,Zellweger syndrome
7174,NIFEDIPINE,partial epilepsy
7175,ISOTRETINOIN,Klinefelter's syndrome
7178,GANAXOLONE,West syndrome
7184,GANAXOLONE,partial epilepsy
7185,ALPRAZOLAM,epilepsy
7190,PREDNISOLONE,Granulomatosis with Polyangiitis
7196,GANAXOLONE,Fragile X syndrome
7202,GABOXADOL,Fragile X syndrome
7203,SELURAMPANEL,reflex epilepsy
7206,GABOXADOL,Angelman syndrome
7208,LORAZEPAM,epilepsy
7213,RITUXIMAB,Behcet's syndrome
7214,CARBAMAZEPINE,reflex epilepsy
7225,LORAZEPAM,reflex epilepsy
7230,KETAMINE,Rett syndrome
7234,PF-06372865,reflex epilepsy
7237,EVEROLIMUS,epilepsy
7242,CALCITRIOL,Klinefelter's syndrome
7244,RITUXIMAB,Japanese encephalitis
7258,KETAMINE,epilepsy
7262,ETANERCEPT,Granulomatosis with Polyangiitis
7276,FENFLURAMINE,epilepsy
7282,MYCOPHENOLATE MOFETIL,Juvenile neuronal ceroid lipofuscinosis
7283,IBUPROFEN,partial epilepsy
7310,BORTEZOMIB,Japanese encephalitis
7316,ACETAZOLAMIDE,Landau-Kleffner syndrome
7322,INFLIXIMAB,Granulomatosis with Polyangiitis
7337,COLCHICINE,Behcet's syndrome
7359,FENFLURAMINE,developmental and epileptic encephalopathy
7365,CANNABIDIOL,Childhood absence epilepsy
7377,TOCILIZUMAB,Behcet's syndrome
7393,ARIPIPRAZOLE,Fragile X syndrome
7413,USTEKINUMAB,Behcet's syndrome
7436,LEVETIRACETAM,reflex epilepsy
7440,CANNABIDIOL,Fragile X syndrome
7472,METHYLPREDNISOLONE,developmental and epileptic encephalopathy
7477,RITUXIMAB,Churg-Strauss syndrome
7480,SIROLIMUS,Sturge-Weber syndrome
