Disease,Disease ID,Drug,Drug ID,Type,Mechanism of action,Action type,Activity,Target,Target ID,Target class
VENTRICULAR FIBRILLATION,EFO_0004287,PROPAFENONE,CHEMBL631,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN8A,ENSG00000196876,VOLTAGE-GATED SODIUM CHANNEL
SUDDEN CARDIAC ARREST,EFO_0004278,PROPAFENONE,CHEMBL631,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN1A,ENSG00000144285,VOLTAGE-GATED SODIUM CHANNEL
CARDIAC ARREST,EFO_0009492,LIDOCAINE,CHEMBL79,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN7A,ENSG00000136546,VOLTAGE-GATED SODIUM CHANNEL
SUDDEN CARDIAC ARREST,EFO_0004278,MEXILETINE,CHEMBL558,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN4A,ENSG00000007314,VOLTAGE-GATED SODIUM CHANNEL
VENTRICULAR FIBRILLATION,EFO_0004287,MEXILETINE,CHEMBL558,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN3A,ENSG00000153253,VOLTAGE-GATED SODIUM CHANNEL
CARDIAC ARREST,EFO_0009492,METHYLPREDNISOLONE,CHEMBL650,SMALL MOLECULE,GLUCOCORTICOID RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,NR3C1,ENSG00000113580,NUCLEAR HORMONE RECEPTOR SUBFAMILY 3 GROUP C MEMBER 1
CARDIAC ARRHYTHMIA,EFO_0004269,COLCHICINE,CHEMBL107,SMALL MOLECULE,TUBULIN INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,TUBB3,ENSG00000258947,STRUCTURAL PROTEIN
SUPRAVENTRICULAR TACHYCARDIA,HP_0004755,DIGOXIN,CHEMBL1751,SMALL MOLECULE,SODIUM/POTASSIUM-TRANSPORTING ATPASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,ATP1A4,ENSG00000132681,HYDROLASE
SUDDEN CARDIAC ARREST,EFO_0004278,QUINIDINE,CHEMBL1294,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN11A,ENSG00000168356,VOLTAGE-GATED SODIUM CHANNEL
VENTRICULAR FIBRILLATION,EFO_0004287,PROPAFENONE,CHEMBL631,SMALL MOLECULE,BETA-2 ADRENERGIC RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADRB2,ENSG00000169252,ADRENERGIC RECEPTOR
VENTRICULAR FIBRILLATION,EFO_0004287,PROPAFENONE,CHEMBL631,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN4A,ENSG00000007314,VOLTAGE-GATED SODIUM CHANNEL
ATRIAL FIBRILLATION,EFO_0000275,CAFFEINE,CHEMBL113,SMALL MOLECULE,ADENOSINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADORA2B,ENSG00000170425,ADENOSINE RECEPTOR
VENTRICULAR FIBRILLATION,EFO_0004287,MEXILETINE,CHEMBL558,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN2A,ENSG00000136531,VOLTAGE-GATED SODIUM CHANNEL
SUDDEN CARDIAC ARREST,EFO_0004278,PROPAFENONE,CHEMBL631,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN11A,ENSG00000168356,VOLTAGE-GATED SODIUM CHANNEL
SUDDEN CARDIAC ARREST,EFO_0004278,PROPRANOLOL,CHEMBL27,SMALL MOLECULE,BETA-1 ADRENERGIC RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADRB1,ENSG00000043591,ADRENERGIC RECEPTOR
SUDDEN CARDIAC ARREST,EFO_0004278,PROCAINAMIDE,CHEMBL640,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN1A,ENSG00000144285,VOLTAGE-GATED SODIUM CHANNEL
CARDIAC ARREST,EFO_0009492,LIDOCAINE,CHEMBL79,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN11A,ENSG00000168356,VOLTAGE-GATED SODIUM CHANNEL
CARDIAC ARREST,EFO_0009492,LIDOCAINE,CHEMBL79,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN3A,ENSG00000153253,VOLTAGE-GATED SODIUM CHANNEL
VENTRICULAR FIBRILLATION,EFO_0004287,MEXILETINE,CHEMBL558,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN1A,ENSG00000144285,VOLTAGE-GATED SODIUM CHANNEL
SUDDEN CARDIAC ARREST,EFO_0004278,QUINIDINE,CHEMBL1294,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN1A,ENSG00000144285,VOLTAGE-GATED SODIUM CHANNEL
SUDDEN CARDIAC ARREST,EFO_0004278,PROCAINAMIDE,CHEMBL640,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN3A,ENSG00000153253,VOLTAGE-GATED SODIUM CHANNEL
SUPRAVENTRICULAR TACHYCARDIA,HP_0004755,PROPRANOLOL,CHEMBL27,SMALL MOLECULE,BETA-2 ADRENERGIC RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADRB2,ENSG00000169252,ADRENERGIC RECEPTOR
VENTRICULAR FIBRILLATION,EFO_0004287,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRA1A,ENSG00000120907,ADRENERGIC RECEPTOR
VENTRICULAR FIBRILLATION,EFO_0004287,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRA2B,ENSG00000274286,ADRENERGIC RECEPTOR
CARDIAC ARREST,EFO_0009492,ROCURONIUM,CHEMBL1201244,SMALL MOLECULE,MUSCLE-TYPE NICOTINIC ACETYLCHOLINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,CHRNA1,ENSG00000138435,NICOTINIC ACETYLCHOLINE RECEPTOR ALPHA SUBUNIT
VENTRICULAR TACHYCARDIA,EFO_0005306,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRB3,ENSG00000188778,ADRENERGIC RECEPTOR
CARDIAC ARREST,EFO_0009492,THEOPHYLLINE,CHEMBL190,SMALL MOLECULE,PHOSPHODIESTERASE 4 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PDE4B,ENSG00000184588,PHOSPHODIESTERASE 4A
VENTRICULAR TACHYCARDIA,EFO_0005306,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRA1B,ENSG00000170214,ADRENERGIC RECEPTOR
ATRIAL FLUTTER,EFO_0003911,AZD1305,CHEMBL3545169,SMALL MOLECULE,VOLTAGE-GATED L-TYPE CALCIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,CACNA1S,ENSG00000081248,VOLTAGE-GATED CALCIUM CHANNEL
VENTRICULAR TACHYCARDIA,EFO_0005306,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRA2B,ENSG00000274286,ADRENERGIC RECEPTOR
VENTRICULAR FIBRILLATION,EFO_0004287,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRA2C,ENSG00000184160,ADRENERGIC RECEPTOR
VENTRICULAR FIBRILLATION,EFO_0004287,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRB2,ENSG00000169252,ADRENERGIC RECEPTOR
CARDIAC ARREST,EFO_0009492,ROCURONIUM,CHEMBL1201244,SMALL MOLECULE,MUSCLE-TYPE NICOTINIC ACETYLCHOLINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,CHRND,ENSG00000135902,NICOTINIC ACETYLCHOLINE RECEPTOR ALPHA SUBUNIT
ATRIAL FIBRILLATION,EFO_0000275,AZD1305,CHEMBL3545169,SMALL MOLECULE,VOLTAGE-GATED L-TYPE CALCIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,CACNA1S,ENSG00000081248,VOLTAGE-GATED CALCIUM CHANNEL
ATRIAL FIBRILLATION,EFO_0000275,AZD1305,CHEMBL3545169,SMALL MOLECULE,SODIUM CHANNEL PROTEIN TYPE V ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN5A,ENSG00000183873,VOLTAGE-GATED SODIUM CHANNEL
VENTRICULAR FIBRILLATION,EFO_0004287,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRB1,ENSG00000043591,ADRENERGIC RECEPTOR
ATRIAL FIBRILLATION,EFO_0000275,AZD1305,CHEMBL3545169,SMALL MOLECULE,VOLTAGE-GATED L-TYPE CALCIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,CACNA1D,ENSG00000157388,VOLTAGE-GATED CALCIUM CHANNEL
ATRIAL FIBRILLATION,EFO_0000275,AZD1305,CHEMBL3545169,SMALL MOLECULE,VOLTAGE-GATED L-TYPE CALCIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,CACNA1C,ENSG00000151067,VOLTAGE-GATED CALCIUM CHANNEL
VENTRICULAR FIBRILLATION,EFO_0004287,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRA1D,ENSG00000171873,ADRENERGIC RECEPTOR
ATRIAL FLUTTER,EFO_0003911,AZD1305,CHEMBL3545169,SMALL MOLECULE,SODIUM CHANNEL PROTEIN TYPE V ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN5A,ENSG00000183873,VOLTAGE-GATED SODIUM CHANNEL
CARDIAC ARREST,EFO_0009492,ROCURONIUM,CHEMBL1201244,SMALL MOLECULE,MUSCLE-TYPE NICOTINIC ACETYLCHOLINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,CHRNB1,ENSG00000170175,NICOTINIC ACETYLCHOLINE RECEPTOR ALPHA SUBUNIT
ATRIAL FLUTTER,EFO_0003911,AZD1305,CHEMBL3545169,SMALL MOLECULE,HERG BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH2,ENSG00000055118,VOLTAGE-GATED POTASSIUM CHANNEL
VENTRICULAR TACHYCARDIA,EFO_0005306,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRA2A,ENSG00000150594,ADRENERGIC RECEPTOR
CARDIAC ARREST,EFO_0009492,THEOPHYLLINE,CHEMBL190,SMALL MOLECULE,PHOSPHODIESTERASE 4 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PDE4D,ENSG00000113448,PHOSPHODIESTERASE 4A
ATRIAL FIBRILLATION,EFO_0000275,SIMVASTATIN,CHEMBL1064,SMALL MOLECULE,HMG-COA REDUCTASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,HMGCR,ENSG00000113161,OXIDOREDUCTASE
ATRIAL FLUTTER,EFO_0003911,AZD1305,CHEMBL3545169,SMALL MOLECULE,VOLTAGE-GATED L-TYPE CALCIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,CACNA1F,ENSG00000102001,VOLTAGE-GATED CALCIUM CHANNEL
ATRIAL FIBRILLATION,EFO_0000275,AZD1305,CHEMBL3545169,SMALL MOLECULE,HERG BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH2,ENSG00000055118,VOLTAGE-GATED POTASSIUM CHANNEL
VENTRICULAR FIBRILLATION,EFO_0004287,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRA1B,ENSG00000170214,ADRENERGIC RECEPTOR
VENTRICULAR TACHYCARDIA,EFO_0005306,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRA1A,ENSG00000120907,ADRENERGIC RECEPTOR
CARDIAC ARREST,EFO_0009492,THEOPHYLLINE,CHEMBL190,SMALL MOLECULE,PHOSPHODIESTERASE 4 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PDE4C,ENSG00000105650,PHOSPHODIESTERASE 4A
CARDIAC ARREST,EFO_0009492,THEOPHYLLINE,CHEMBL190,SMALL MOLECULE,PHOSPHODIESTERASE 3 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PDE3A,ENSG00000172572,PHOSPHODIESTERASE 3A
ATRIAL FLUTTER,EFO_0003911,AZD1305,CHEMBL3545169,SMALL MOLECULE,VOLTAGE-GATED L-TYPE CALCIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,CACNA1C,ENSG00000151067,VOLTAGE-GATED CALCIUM CHANNEL
CARDIAC ARREST,EFO_0009492,THEOPHYLLINE,CHEMBL190,SMALL MOLECULE,PHOSPHODIESTERASE 4 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PDE4A,ENSG00000065989,PHOSPHODIESTERASE 4A
CARDIAC ARREST,EFO_0009492,ROCURONIUM,CHEMBL1201244,SMALL MOLECULE,MUSCLE-TYPE NICOTINIC ACETYLCHOLINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,CHRNG,ENSG00000196811,NICOTINIC ACETYLCHOLINE RECEPTOR ALPHA SUBUNIT
VENTRICULAR TACHYCARDIA,EFO_0005306,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRB1,ENSG00000043591,ADRENERGIC RECEPTOR
ATRIAL FIBRILLATION,EFO_0000275,MELATONIN,CHEMBL45,SMALL MOLECULE,MELATONIN RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,MTNR1B,ENSG00000134640,MELATONIN RECEPTOR
VENTRICULAR FIBRILLATION,EFO_0004287,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRA2A,ENSG00000150594,ADRENERGIC RECEPTOR
ATRIAL FIBRILLATION,EFO_0000275,MELATONIN,CHEMBL45,SMALL MOLECULE,MELATONIN RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,MTNR1A,ENSG00000168412,MELATONIN RECEPTOR
CARDIAC ARREST,EFO_0009492,ROCURONIUM,CHEMBL1201244,SMALL MOLECULE,MUSCLE-TYPE NICOTINIC ACETYLCHOLINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,CHRNE,ENSG00000108556,NICOTINIC ACETYLCHOLINE RECEPTOR ALPHA SUBUNIT
ATRIAL FIBRILLATION,EFO_0000275,AZD1305,CHEMBL3545169,SMALL MOLECULE,VOLTAGE-GATED L-TYPE CALCIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,CACNA1F,ENSG00000102001,VOLTAGE-GATED CALCIUM CHANNEL
CARDIAC ARREST,EFO_0009492,THEOPHYLLINE,CHEMBL190,SMALL MOLECULE,ADENOSINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADORA1,ENSG00000163485,ADENOSINE RECEPTOR
CARDIAC ARREST,EFO_0009492,THEOPHYLLINE,CHEMBL190,SMALL MOLECULE,PHOSPHODIESTERASE 3 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PDE3B,ENSG00000152270,PHOSPHODIESTERASE 3A
CARDIAC ARREST,EFO_0009492,THEOPHYLLINE,CHEMBL190,SMALL MOLECULE,ADENOSINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADORA2A,ENSG00000128271,ADENOSINE RECEPTOR
VENTRICULAR TACHYCARDIA,EFO_0005306,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRB2,ENSG00000169252,ADRENERGIC RECEPTOR
CARDIAC ARREST,EFO_0009492,THEOPHYLLINE,CHEMBL190,SMALL MOLECULE,ADENOSINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADORA3,ENSG00000282608,ADENOSINE RECEPTOR
SUDDEN CARDIAC ARREST,EFO_0004278,ERGOCALCIFEROL,CHEMBL1536,SMALL MOLECULE,VITAMIN D RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,VDR,ENSG00000111424,NUCLEAR HORMONE RECEPTOR SUBFAMILY 1 GROUP I MEMBER 1
CARDIAC ARREST,EFO_0009492,THEOPHYLLINE,CHEMBL190,SMALL MOLECULE,ADENOSINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADORA2B,ENSG00000170425,ADENOSINE RECEPTOR
VENTRICULAR TACHYCARDIA,EFO_0005306,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRA2C,ENSG00000184160,ADRENERGIC RECEPTOR
VENTRICULAR FIBRILLATION,EFO_0004287,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRB3,ENSG00000188778,ADRENERGIC RECEPTOR
SUDDEN CARDIAC ARREST,EFO_0004278,METHYLPREDNISOLONE,CHEMBL650,SMALL MOLECULE,GLUCOCORTICOID RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,NR3C1,ENSG00000113580,NUCLEAR HORMONE RECEPTOR SUBFAMILY 3 GROUP C MEMBER 1
VENTRICULAR TACHYCARDIA,EFO_0005306,EPINEPHRINE,CHEMBL679,SMALL MOLECULE,ADRENERGIC RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ADRA1D,ENSG00000171873,ADRENERGIC RECEPTOR
ATRIAL FLUTTER,EFO_0003911,AZD1305,CHEMBL3545169,SMALL MOLECULE,VOLTAGE-GATED L-TYPE CALCIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,CACNA1D,ENSG00000157388,VOLTAGE-GATED CALCIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,ACETAMINOPHEN,CHEMBL112,SMALL MOLECULE,VANILLOID RECEPTOR OPENER,OPENER,POSITIVE MODULATOR,TRPV1,ENSG00000196689,TRANSIENT RECEPTOR POTENTIAL CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,ACETAMINOPHEN,CHEMBL112,SMALL MOLECULE,ANANDAMIDE AMIDOHYDROLASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,FAAH,ENSG00000117480,HYDROLASE
CARDIAC ARRHYTHMIA,EFO_0004269,ACETAMINOPHEN,CHEMBL112,SMALL MOLECULE,CYCLOOXYGENASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PTGS1,ENSG00000095303,OXIDOREDUCTASE
CARDIAC ARRHYTHMIA,EFO_0004269,ACETAMINOPHEN,CHEMBL112,SMALL MOLECULE,CYCLOOXYGENASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PTGS2,ENSG00000073756,OXIDOREDUCTASE
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNQ1,ENSG00000053918,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA3,ENSG00000177272,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNG3,ENSG00000171126,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNC4,ENSG00000116396,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNC3,ENSG00000131398,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA5,ENSG00000130037,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNS3,ENSG00000170745,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNC1,ENSG00000129159,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNG1,ENSG00000026559,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH6,ENSG00000173826,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA7,ENSG00000104848,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA1,ENSG00000111262,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCND3,ENSG00000171385,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCND2,ENSG00000184408,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNV2,ENSG00000168263,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH3,ENSG00000135519,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNF1,ENSG00000162975,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH8,ENSG00000183960,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA6,ENSG00000151079,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNG4,ENSG00000168418,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCND1,ENSG00000102057,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA2,ENSG00000177301,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNB1,ENSG00000158445,VOLTAGE-GATED POTASSIUM CHANNEL
CARDIAC ARRHYTHMIA,EFO_0004269,TEDISAMIL,CHEMBL2111110,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNG2,ENSG00000178342,VOLTAGE-GATED POTASSIUM CHANNEL
